timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
"6cc27ee52f4f05b8a9029477610d06fc94763661f67e71cba12798204a1284ad Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",a8862eb2-e518-42bc-ad9d-f8a3ae9b9f98,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Definitely does,Definitely yes,Occasionally,between true and untrue,very untrue,9,left,left,neutral,true,t,1,0
"db6d5b05755d65c5cc20317f62333960fa9cf0ffb2360ceeaa424ee3a1b3170c Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",a8862eb2-e518-42bc-ad9d-f8a3ae9b9f98,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Definitely does,Definitely yes,Occasionally,between true and untrue,very untrue,10,right,right,neutral,true,t,1,0
"e087db72ce48747dc7a0e49fff59cba50d08e544c4e3890767c1f325146aebcd Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",a8862eb2-e518-42bc-ad9d-f8a3ae9b9f98,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Definitely does,Definitely yes,Occasionally,between true and untrue,very untrue,11,left,left,erotic,true,t,1,0
7ca482e18506290130bce0232faef2db70943827661925b62ad3e8782cfc418d Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:105.0) Gecko/20100101 Firefox/105.0,3613480e-514c-4483-9fa1-b14e9a65445b,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"1165d667520d43331b026e094bc88578e1924e0a8a8739c2a563fdcd55a7d4a5 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",a8862eb2-e518-42bc-ad9d-f8a3ae9b9f98,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Definitely does,Definitely yes,Occasionally,between true and untrue,very untrue,12,left,right,erotic,false,t,1,0
8ef9b4626dc379099a4091b4d502080b5bb81a31b44d72cb09c26eefcff50a71 Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:105.0) Gecko/20100101 Firefox/105.0,3613480e-514c-4483-9fa1-b14e9a65445b,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"bd92d719fcd539357ac2aa054f1dfa9200ae8b86f417601acb4b3698e19ff44c Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",a8862eb2-e518-42bc-ad9d-f8a3ae9b9f98,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Definitely does,Definitely yes,Occasionally,between true and untrue,very untrue,13,right,right,erotic,true,t,1,0
"4e5d3ac092993d171fa13d112d7b2f1868d407421eb18100bddff4a2e402ddc6 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",a8862eb2-e518-42bc-ad9d-f8a3ae9b9f98,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Definitely does,Definitely yes,Occasionally,between true and untrue,very untrue,14,right,left,erotic,false,t,1,0
bd92d719fcd539357ac2aa054f1dfa9200ae8b86f417601acb4b3698e19ff44c Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:105.0) Gecko/20100101 Firefox/105.0,3613480e-514c-4483-9fa1-b14e9a65445b,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,60+,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
"c9badcea2288b80a8371ad9145aa3fef186d50f7626cf1e88b0791c0f52ca5d4 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",a8862eb2-e518-42bc-ad9d-f8a3ae9b9f98,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Definitely does,Definitely yes,Occasionally,between true and untrue,very untrue,15,right,right,erotic,true,t,1,0
"5b7db489cdaecab0e627a17fc402f20242f668f01229ef905be60f6dba44a675 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",a8862eb2-e518-42bc-ad9d-f8a3ae9b9f98,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Definitely does,Definitely yes,Occasionally,between true and untrue,very untrue,16,right,right,erotic,true,t,1,0
"7dc01b27a5283e32f1602c7ef662cc5a0326f802761a5398e4e39f6f23f22f20 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",a8862eb2-e518-42bc-ad9d-f8a3ae9b9f98,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Definitely does,Definitely yes,Occasionally,between true and untrue,very untrue,17,right,left,neutral,false,t,1,0
"c10c3ea24c601923c1d4c9e689fc8be343397721cc11d3be1f690962da16dc11 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",a8862eb2-e518-42bc-ad9d-f8a3ae9b9f98,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Definitely does,Definitely yes,Occasionally,between true and untrue,very untrue,18,left,left,erotic,true,t,1,0
"1c3cc626027cbc2235398ec0593cbf8520251b6c933f7e7627e56f5a27ba3091 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",a8862eb2-e518-42bc-ad9d-f8a3ae9b9f98,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Definitely does,Definitely yes,Occasionally,between true and untrue,very untrue,19,left,right,neutral,false,t,1,0
"698e718fa38274a5011494a862b16446408a50899a1ba9362c8c46a2398bac37 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36",a8862eb2-e518-42bc-ad9d-f8a3ae9b9f98,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,5,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,5,online,yes,no,30-44,Female,yes,Definitely does,Definitely yes,Occasionally,between true and untrue,very untrue,20,left,left,neutral,true,t,1,0
